year,max_laden_wt,type,number
2006,> 55000kg,Recovery Vehicles,2
2006,> 55000kg,Refrigerated Vehicles,0
2006,> 55000kg,Others,0
2007,<= 3500 kg,Lorries,30510
2007,<= 3500 kg,Tippers,1
2007,<= 3500 kg,Vans,60054
2007,<= 3500 kg,Goods-cum Passengers,5037
2007,<= 3500 kg,Articulated Vehicles,0
2007,<= 3500 kg,Cement Mixers,0
2007,<= 3500 kg,Tankers,7
2007,<= 3500 kg,Cranes,0
2007,<= 3500 kg,Recovery Vehicles,109
2007,<= 3500 kg,Refrigerated Vehicles,1210
2007,<= 3500 kg,Others,54
2007,3501 - 7000kg,Lorries,14890
2007,3501 - 7000kg,Tippers,278
2007,3501 - 7000kg,Vans,4784
2007,3501 - 7000kg,Goods-cum Passengers,37
2007,3501 - 7000kg,Articulated Vehicles,0
2007,3501 - 7000kg,Cement Mixers,0
2007,3501 - 7000kg,Tankers,14
2007,3501 - 7000kg,Cranes,0
2007,3501 - 7000kg,Recovery Vehicles,111
2007,3501 - 7000kg,Refrigerated Vehicles,1551
2007,3501 - 7000kg,Others,96
2007,7001 - 11000kg,Lorries,3303
2007,7001 - 11000kg,Tippers,124
2007,7001 - 11000kg,Vans,1829
2007,7001 - 11000kg,Goods-cum Passengers,0
2007,7001 - 11000kg,Articulated Vehicles,0
2007,7001 - 11000kg,Cement Mixers,0
2007,7001 - 11000kg,Tankers,67
2007,7001 - 11000kg,Cranes,5
2007,7001 - 11000kg,Recovery Vehicles,103
2007,7001 - 11000kg,Refrigerated Vehicles,163
2007,7001 - 11000kg,Others,42
2007,11001-16000kg,Lorries,1806
2007,11001-16000kg,Tippers,183
2007,11001-16000kg,Vans,318
2007,11001-16000kg,Goods-cum Passengers,0
2007,11001-16000kg,Articulated Vehicles,0
2007,11001-16000kg,Cement Mixers,0
2007,11001-16000kg,Tankers,88
2007,11001-16000kg,Cranes,1
2007,11001-16000kg,Recovery Vehicles,24
2007,11001-16000kg,Refrigerated Vehicles,167
2007,11001-16000kg,Others,260
2007,16001-20000kg,Lorries,12
2007,16001-20000kg,Tippers,1
2007,16001-20000kg,Vans,2
2007,16001-20000kg,Goods-cum Passengers,0
2007,16001-20000kg,Articulated Vehicles,0
2007,16001-20000kg,Cement Mixers,0
2007,16001-20000kg,Tankers,2
2007,16001-20000kg,Cranes,0
2007,16001-20000kg,Recovery Vehicles,0
2007,16001-20000kg,Refrigerated Vehicles,1
2007,16001-20000kg,Others,14
2007,20001-26000kg,Lorries,1292
2007,20001-26000kg,Tippers,353
2007,20001-26000kg,Vans,3
2007,20001-26000kg,Goods-cum Passengers,0
2007,20001-26000kg,Articulated Vehicles,1
2007,20001-26000kg,Cement Mixers,682
2007,20001-26000kg,Tankers,289
2007,20001-26000kg,Cranes,62
2007,20001-26000kg,Recovery Vehicles,31
2007,20001-26000kg,Refrigerated Vehicles,5
2007,20001-26000kg,Others,559
2007,26001-32000kg,Lorries,554
2007,26001-32000kg,Tippers,2016
2007,26001-32000kg,Vans,0
2007,26001-32000kg,Goods-cum Passengers,0
2007,26001-32000kg,Articulated Vehicles,2
2007,26001-32000kg,Cement Mixers,126
2007,26001-32000kg,Tankers,67
2007,26001-32000kg,Cranes,47
2007,26001-32000kg,Recovery Vehicles,4
2007,26001-32000kg,Refrigerated Vehicles,2
2007,26001-32000kg,Others,281
2007,32001-40000kg,Lorries,104
2007,32001-40000kg,Tippers,2
2007,32001-40000kg,Vans,0
2007,32001-40000kg,Goods-cum Passengers,0
2007,32001-40000kg,Articulated Vehicles,2
2007,32001-40000kg,Cement Mixers,365
2007,32001-40000kg,Tankers,25
2007,32001-40000kg,Cranes,75
2007,32001-40000kg,Recovery Vehicles,0
2007,32001-40000kg,Refrigerated Vehicles,0
2007,32001-40000kg,Others,33
2007,40001-50000kg,Lorries,0
2007,40001-50000kg,Tippers,0
2007,40001-50000kg,Vans,0
2007,40001-50000kg,Goods-cum Passengers,0
2007,40001-50000kg,Articulated Vehicles,3711
2007,40001-50000kg,Cement Mixers,0
2007,40001-50000kg,Tankers,0
2007,40001-50000kg,Cranes,124
2007,40001-50000kg,Recovery Vehicles,3
2007,40001-50000kg,Refrigerated Vehicles,0
2007,40001-50000kg,Others,0
2007,> 55000kg,Lorries,0
2007,> 55000kg,Tippers,0
2007,> 55000kg,Vans,0
2007,> 55000kg,Goods-cum Passengers,0
2007,> 55000kg,Articulated Vehicles,489
2007,> 55000kg,Cement Mixers,0
2007,> 55000kg,Tankers,0
2007,> 55000kg,Cranes,35
2007,> 55000kg,Recovery Vehicles,2
2007,> 55000kg,Refrigerated Vehicles,0
2007,> 55000kg,Others,0
2008,<= 3500 kg,Lorries,31539
2008,<= 3500 kg,Tippers,1
2008,<= 3500 kg,Vans,61040
2008,<= 3500 kg,Goods-cum Passengers,4896
2008,<= 3500 kg,Articulated Vehicles,0
2008,<= 3500 kg,Cement Mixers,0
2008,<= 3500 kg,Tankers,7
2008,<= 3500 kg,Cranes,0
2008,<= 3500 kg,Recovery Vehicles,108
2008,<= 3500 kg,Refrigerated Vehicles,1298
2008,<= 3500 kg,Others,52
2008,3501 - 7000kg,Lorries,15624
2008,3501 - 7000kg,Tippers,297
2008,3501 - 7000kg,Vans,4864
2008,3501 - 7000kg,Goods-cum Passengers,45
2008,3501 - 7000kg,Articulated Vehicles,0
2008,3501 - 7000kg,Cement Mixers,0
2008,3501 - 7000kg,Tankers,14
2008,3501 - 7000kg,Cranes,0
2008,3501 - 7000kg,Recovery Vehicles,116
2008,3501 - 7000kg,Refrigerated Vehicles,1607
2008,3501 - 7000kg,Others,97
2008,7001 - 11000kg,Lorries,3392
2008,7001 - 11000kg,Tippers,129
2008,7001 - 11000kg,Vans,1852
2008,7001 - 11000kg,Goods-cum Passengers,0
2008,7001 - 11000kg,Articulated Vehicles,0
2008,7001 - 11000kg,Cement Mixers,0
2008,7001 - 11000kg,Tankers,66
2008,7001 - 11000kg,Cranes,5
2008,7001 - 11000kg,Recovery Vehicles,107
2008,7001 - 11000kg,Refrigerated Vehicles,176
2008,7001 - 11000kg,Others,41
2008,11001-16000kg,Lorries,1919
2008,11001-16000kg,Tippers,181
2008,11001-16000kg,Vans,321
2008,11001-16000kg,Goods-cum Passengers,0
2008,11001-16000kg,Articulated Vehicles,0
2008,11001-16000kg,Cement Mixers,0
2008,11001-16000kg,Tankers,97
2008,11001-16000kg,Cranes,1
2008,11001-16000kg,Recovery Vehicles,24
2008,11001-16000kg,Refrigerated Vehicles,178
2008,11001-16000kg,Others,275
2008,16001-20000kg,Lorries,15
2008,16001-20000kg,Tippers,1
2008,16001-20000kg,Vans,6
2008,16001-20000kg,Goods-cum Passengers,0
2008,16001-20000kg,Articulated Vehicles,0
2008,16001-20000kg,Cement Mixers,0
2008,16001-20000kg,Tankers,3
2008,16001-20000kg,Cranes,0
2008,16001-20000kg,Recovery Vehicles,0
2008,16001-20000kg,Refrigerated Vehicles,1
2008,16001-20000kg,Others,15
2008,20001-26000kg,Lorries,1249
2008,20001-26000kg,Tippers,299
2008,20001-26000kg,Vans,3
2008,20001-26000kg,Goods-cum Passengers,0
2008,20001-26000kg,Articulated Vehicles,1
2008,20001-26000kg,Cement Mixers,574
2008,20001-26000kg,Tankers,268
2008,20001-26000kg,Cranes,54
2008,20001-26000kg,Recovery Vehicles,31
2008,20001-26000kg,Refrigerated Vehicles,5
2008,20001-26000kg,Others,521
2008,26001-32000kg,Lorries,732
2008,26001-32000kg,Tippers,2510
2008,26001-32000kg,Vans,0
2008,26001-32000kg,Goods-cum Passengers,0
2008,26001-32000kg,Articulated Vehicles,1
2008,26001-32000kg,Cement Mixers,162
2008,26001-32000kg,Tankers,91
2008,26001-32000kg,Cranes,47
2008,26001-32000kg,Recovery Vehicles,4
2008,26001-32000kg,Refrigerated Vehicles,4
2008,26001-32000kg,Others,366
2008,32001-40000kg,Lorries,160
2008,32001-40000kg,Tippers,3
2008,32001-40000kg,Vans,0
2008,32001-40000kg,Goods-cum Passengers,0
2008,32001-40000kg,Articulated Vehicles,2
2008,32001-40000kg,Cement Mixers,547
2008,32001-40000kg,Tankers,43
2008,32001-40000kg,Cranes,79
2008,32001-40000kg,Recovery Vehicles,0
2008,32001-40000kg,Refrigerated Vehicles,0
2008,32001-40000kg,Others,53
2008,40001-50000kg,Lorries,0
2008,40001-50000kg,Tippers,0
2008,40001-50000kg,Vans,0
2008,40001-50000kg,Goods-cum Passengers,0
2008,40001-50000kg,Articulated Vehicles,4004
2008,40001-50000kg,Cement Mixers,0
2008,40001-50000kg,Tankers,0
2008,40001-50000kg,Cranes,125
2008,40001-50000kg,Recovery Vehicles,4
2008,40001-50000kg,Refrigerated Vehicles,0
2008,40001-50000kg,Others,0
2008,> 55000kg,Lorries,0
2008,> 55000kg,Tippers,0
2008,> 55000kg,Vans,0
2008,> 55000kg,Goods-cum Passengers,0
2008,> 55000kg,Articulated Vehicles,566
2008,> 55000kg,Cement Mixers,0
2008,> 55000kg,Tankers,0
2008,> 55000kg,Cranes,46
2008,> 55000kg,Recovery Vehicles,2
2008,> 55000kg,Refrigerated Vehicles,0
2008,> 55000kg,Others,0
2009,<= 3500 kg,Lorries,32268
2009,<= 3500 kg,Tippers,2
2009,<= 3500 kg,Vans,61362
2009,<= 3500 kg,Goods-cum Passengers,4737
2009,<= 3500 kg,Articulated Vehicles,0
2009,<= 3500 kg,Cement Mixers,0
2009,<= 3500 kg,Tankers,9
2009,<= 3500 kg,Cranes,0
2009,<= 3500 kg,Recovery Vehicles,111
2009,<= 3500 kg,Refrigerated Vehicles,1386
2009,<= 3500 kg,Others,47
2009,3501 - 7000kg,Lorries,15983
2009,3501 - 7000kg,Tippers,308
2009,3501 - 7000kg,Vans,4871
2009,3501 - 7000kg,Goods-cum Passengers,34
2009,3501 - 7000kg,Articulated Vehicles,0
2009,3501 - 7000kg,Cement Mixers,0
2009,3501 - 7000kg,Tankers,17
2009,3501 - 7000kg,Cranes,0
2009,3501 - 7000kg,Recovery Vehicles,119
2009,3501 - 7000kg,Refrigerated Vehicles,1674
2009,3501 - 7000kg,Others,96
2009,7001 - 11000kg,Lorries,3444
2009,7001 - 11000kg,Tippers,136
2009,7001 - 11000kg,Vans,1786
2009,7001 - 11000kg,Goods-cum Passengers,0
2009,7001 - 11000kg,Articulated Vehicles,0
2009,7001 - 11000kg,Cement Mixers,0
2009,7001 - 11000kg,Tankers,67
2009,7001 - 11000kg,Cranes,6
2009,7001 - 11000kg,Recovery Vehicles,113
2009,7001 - 11000kg,Refrigerated Vehicles,193
2009,7001 - 11000kg,Others,36
2009,11001-16000kg,Lorries,1943
2009,11001-16000kg,Tippers,182
2009,11001-16000kg,Vans,306
2009,11001-16000kg,Goods-cum Passengers,0
2009,11001-16000kg,Articulated Vehicles,0
2009,11001-16000kg,Cement Mixers,0
2009,11001-16000kg,Tankers,106
2009,11001-16000kg,Cranes,1
2009,11001-16000kg,Recovery Vehicles,23
2009,11001-16000kg,Refrigerated Vehicles,181
2009,11001-16000kg,Others,293
2009,16001-20000kg,Lorries,18
2009,16001-20000kg,Tippers,1
2009,16001-20000kg,Vans,8
2009,16001-20000kg,Goods-cum Passengers,0
2009,16001-20000kg,Articulated Vehicles,0
2009,16001-20000kg,Cement Mixers,0
2009,16001-20000kg,Tankers,3
2009,16001-20000kg,Cranes,0
2009,16001-20000kg,Recovery Vehicles,0
2009,16001-20000kg,Refrigerated Vehicles,1
2009,16001-20000kg,Others,17
2009,20001-26000kg,Lorries,1198
2009,20001-26000kg,Tippers,258
2009,20001-26000kg,Vans,3
2009,20001-26000kg,Goods-cum Passengers,0
2009,20001-26000kg,Articulated Vehicles,1
2009,20001-26000kg,Cement Mixers,488
